id,card_id,date_recorded,tcg_avg_price,tcg_min_price,tcg_max_price,cardmarket_avg_price,cardmarket_min_price,cardmarket_max_price,manual_price,avg_sell_price,source,created_at,updated_at,pokeapi_id,pokeapi_set_id,supabase_set_id,card_name,number_format,download_id,language
1670,base1-1,2025-09-04 13:54:55.899221,57.33,33.00,144.99,101.64,32.50,98.85,null,99.36,pokemontcg_api,2025-09-04 11:54:56.018354,2025-09-04 11:54:56.018354,base1-1,base1,base1,Alakazam,XXX,2025/9/4/3,en
1671,base1-1,2025-09-04 13:54:55.899221,57.33,33.00,144.99,101.64,32.50,98.85,null,99.36,pokemontcg_api,2025-09-04 11:54:56.018354,2025-09-04 11:54:56.018354,base1-1,base1,base1,Alakazam,XXX,2025/9/4/3,de
1672,base1-1,2025-09-04 13:54:55.899221,57.33,33.00,144.99,101.64,32.50,98.85,null,99.36,pokemontcg_api,2025-09-04 11:54:56.018354,2025-09-04 11:54:56.018354,base1-1,base1,base1,Alakazam,XXX,2025/9/4/3,fr
1673,base1-2,2025-09-04 13:54:55.899221,158.72,98.74,499.99,127.75,20.00,61.19,null,179.04,pokemontcg_api,2025-09-04 11:54:56.018354,2025-09-04 11:54:56.018354,base1-2,base1,base1,Blastoise,XXX,2025/9/4/3,en
1674,base1-2,2025-09-04 13:54:55.899221,158.72,98.74,499.99,127.75,20.00,61.19,null,179.04,pokemontcg_api,2025-09-04 11:54:56.018354,2025-09-04 11:54:56.018354,base1-2,base1,base1,Blastoise,XXX,2025/9/4/3,de
1675,base1-2,2025-09-04 13:54:55.899221,158.72,98.74,499.99,127.75,20.00,61.19,null,179.04,pokemontcg_api,2025-09-04 11:54:56.018354,2025-09-04 11:54:56.018354,base1-2,base1,base1,Blastoise,XXX,2025/9/4/3,fr
1676,base1-3,2025-09-04 13:54:55.899221,31.50,15.41,71.99,27.93,3.75,9.07,null,37.14,pokemontcg_api,2025-09-04 11:54:56.018354,2025-09-04 11:54:56.018354,base1-3,base1,base1,Chansey,XXX,2025/9/4/3,en
1677,base1-3,2025-09-04 13:54:55.899221,31.50,15.41,71.99,27.93,3.75,9.07,null,37.14,pokemontcg_api,2025-09-04 11:54:56.018354,2025-09-04 11:54:56.018354,base1-3,base1,base1,Chansey,XXX,2025/9/4/3,de
1678,base1-3,2025-09-04 13:54:55.899221,31.50,15.41,71.99,27.93,3.75,9.07,null,37.14,pokemontcg_api,2025-09-04 11:54:56.018354,2025-09-04 11:54:56.018354,base1-3,base1,base1,Chansey,XXX,2025/9/4/3,fr
1679,base1-4,2025-09-04 13:54:55.899221,461.52,280.00,1000.00,880.83,699.99,3182.69,null,838.97,pokemontcg_api,2025-09-04 11:54:56.018354,2025-09-04 11:54:56.018354,base1-4,base1,base1,Charizard,XXX,2025/9/4/3,en
