category,card_id,illustrator,image_url,localid,name,rarity,set_id,set_name,set_symbol_url,variants,hp,types,evolvefrom,description,stage,attacks,weaknesses,retreat,regulationmark,legal,card_count_official,card_count_total,language,card_number,id
Pokemon,swsh4.5-SV081,Saya Tsuruta,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/en/swsh4.5-SV081.webp?,SV081,Nickit,Shiny rare,swsh4.5,Shining Fates,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":true,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",70,"[""Darkness""]",null,"Aided by the soft pads on its feet, it silently raids the food stores of other Pokémon. It survives off its ill-gotten gains.",Basic,"[{""cost"":[""Darkness""],""name"":""Instigate"",""effect"":""Your opponent shuffles their hand and puts it on the bottom of their deck. If they put any cards on the bottom of their deck in this way, they draw 3 cards.""}]","[{""type"":""Grass"",""value"":""×2""}]",1,D,"{""expanded"":true,""standard"":false}",72,195,en,SV081,null
Pokemon,swsh4.5-SV089,kirisAki,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/en/swsh4.5-SV089.webp?,SV089,Corviknight,Shiny rare,swsh4.5,Shining Fates,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":true,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",170,"[""Metal""]",Corvisquire,This Pokémon reigns supreme in the skies of the Galar region. The black luster of its steel body could drive terror into the heart of any foe.,Stage2,"[{""cost"":[""Colorless""],""name"":""Peck"",""damage"":50},{""cost"":[""Metal"",""Colorless"",""Colorless""],""name"":""Iron Wings"",""damage"":130,""effect"":""You may discard 2 Energy from this Pokémon. If you do, during your opponent's next turn, this Pokémon takes 100 less damage from attacks (after applying Weakness and Resistance).""}]","[{""type"":""Lightning"",""value"":""×2""}]",2,D,"{""expanded"":true,""standard"":false}",72,195,en,SV089,null
Pokemon,swsh4.5-SV093,MAHOU,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/en/swsh4.5-SV093.webp?,SV093,Minccino,Shiny rare,swsh4.5,Shining Fates,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":true,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",70,"[""Colorless""]",null,The way it brushes away grime with its tail can be helpful when cleaning. But its focus on spotlessness can make cleaning more of a hassle.,Basic,"[{""cost"":[""Colorless""],""name"":""Glance"",""effect"":""Look at the top card of your opponent's deck.""},{""cost"":[""Colorless"",""Colorless""],""name"":""Tail Slap"",""damage"":""20×"",""effect"":""Flip 2 coins. This attack does 20 damage for each heads.""}]","[{""type"":""Fighting"",""value"":""×2""}]",1,D,"{""expanded"":true,""standard"":false}",72,195,en,SV093,null
Pokemon,swsh4.5-SV099,Naoki Saito,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/en/swsh4.5-SV099.webp?,SV099,Skwovet,Shiny rare,swsh4.5,Shining Fates,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":true,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",70,"[""Colorless""]",null,"Found throughout the Galar region, this Pokémon becomes uneasy if its cheeks are ever completely empty of berries.",Basic,"[{""cost"":[""Colorless""],""name"":""Tackle"",""damage"":10},{""cost"":[""Colorless"",""Colorless""],""name"":""Bite"",""damage"":20}]","[{""type"":""Fighting"",""value"":""×2""}]",1,D,"{""expanded"":true,""standard"":false}",72,195,en,SV099,null
Pokemon,swsh4.5-SV108,5ban Graphics,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/en/swsh4.5-SV108.webp?,SV108,Centiskorch V,Shiny rare V,swsh4.5,Shining Fates,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":true,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",210,"[""Fire""]",null,null,Basic,"[{""cost"":[""Fire""],""name"":""Radiating Heat"",""damage"":20,""effect"":""You may discard an Energy from this Pokémon. If you do, discard an Energy from your opponent's Active Pokémon.""},{""cost"":[""Fire"",""Fire"",""Fire"",""Fire""],""name"":""Burning Train"",""damage"":180}]","[{""type"":""Water"",""value"":""×2""}]",3,D,"{""expanded"":true,""standard"":false}",72,195,en,SV108,null
Pokemon,swsh4.5-SV119,PLANETA Tsuji,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/en/swsh4.5-SV119.webp?,SV119,Ditto VMAX,Shiny rare VMAX,swsh4.5,Shining Fates,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":true,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",320,"[""Colorless""]",Ditto V,null,VMAX,"[{""cost"":[""Colorless"",""Colorless"",""Colorless""],""name"":""Max Transform"",""effect"":""Choose 1 of your opponent's Active Pokémon's attacks and use it as this attack.""}]","[{""type"":""Fighting"",""value"":""×2""}]",3,D,"{""expanded"":true,""standard"":false}",72,195,en,SV119,null
Pokemon,swsh4.5-SV120,5ban Graphics,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/en/swsh4.5-SV120.webp?,SV120,Dubwool V,Shiny rare V,swsh4.5,Shining Fates,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":true,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",210,"[""Colorless""]",null,null,Basic,"[{""cost"":[""Colorless"",""Colorless"",""Colorless""],""name"":""Revenge Blast"",""damage"":""120+"",""effect"":""This attack does 30 more damage for each Prize card your opponent has taken.""}]","[{""type"":""Fighting"",""value"":""×2""}]",2,D,"{""expanded"":true,""standard"":false}",72,195,en,SV120,null
Pokemon,swsh4.5-SV121,5ban Graphics,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh4.5/en/swsh4.5-SV121.webp?,SV121,Eternatus V,Secret Rare,swsh4.5,Shining Fates,https://assets.tcgdex.net/univ/swsh/swsh4.5/symbol,"{""holo"":true,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",220,"[""Darkness""]",null,null,Basic,"[{""cost"":[""Colorless""],""name"":""Power Accelerator"",""damage"":30,""effect"":""You may attach a Darkness Energy card from your hand to 1 of your Benched Pokémon.""},{""cost"":[""Darkness"",""Colorless"",""Colorless"",""Colorless""],""name"":""Dynamax Cannon"",""damage"":""120+"",""effect"":""If your opponent's Active Pokémon is a Pokémon VMAX, this attack does 120 more damage.""}]","[{""type"":""Fighting"",""value"":""×2""}]",2,D,"{""expanded"":true,""standard"":false}",72,195,en,SV121,null
Pokemon,xy8-4,Yuka Morii,https://assets.tcgdex.net/en/xy/xy8/4/high.webp,4,Cacnea,Common,xy8,BREAKthrough,https://assets.tcgdex.net/univ/xy/xy8/symbol,"{""holo"":true,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",60,"[""Grass""]",null,null,Basic,"[{""cost"":[""Colorless""],""name"":""Swagger"",""damage"":10,""effect"":""Flip a coin. If heads, discard an Energy attached to your opponent's Active Pokémon.""}]","[{""type"":""Fire"",""value"":""×2""}]",1,null,"{""expanded"":true,""standard"":false}",162,165,en,4/162,null
Énergie,swsh1-186,null,https://gezhdauazitnymbtmlat.supabase.co/storage/v1/object/public/tcgdex-assets/cards/swsh1/fr/swsh1-186.webp?,186,Énergie Boréale,Peu Commune,swsh1,Épée et Bouclier,https://assets.tcgdex.net/univ/swsh/swsh1/symbol,"{""holo"":false,""normal"":true,""wPromo"":false,""reverse"":true,""firstEdition"":false}",null,[],null,null,null,null,null,null,D,"{""expanded"":true,""standard"":false}",202,216,fr,186/202,null
